job_id,date,machine_id,model_name,material,layer_height_mm,duration_min,filament_g,cost_fen,status,fail_reason,energy_kwh
J202607-023,2026-07-04,FX-256-04,涡轮叶轮,PETG,0.12,271,49.5,560,success,,1.08
J202607-024,2026-07-15,FX-256-03,传感器支架,PETG,0.12,218,43.6,484,success,,0.87
J202607-025,2026-07-09,FX-256-02,行星齿轮,PETG,0.12,202,32.1,375,success,,0.81
J202607-026,2026-06-29,FX-256-02,涡轮叶轮,PLA,0.2,53,20.8,167,fail,断料,0.21
J202607-027,2026-07-02,FX-256-03,传感器支架,TPU,0.2,236,42.9,786,success,,0.94
J202607-028,2026-06-30,FX-256-04,传感器支架,PETG,0.2,156,43.6,456,success,,0.62
J202607-029,2026-07-01,FX-256-02,涡轮叶轮,TPU,0.2,322,49.9,935,success,,1.29
J202607-030,2026-07-06,FX-256-03,涡轮叶轮,PLA,0.2,165,51.6,429,success,,0.66
J202607-031,2026-07-18,FX-256-04,行星齿轮,PLA,0.12,174,34.5,315,success,,0.7
J202607-032,2026-07-08,FX-256-03,传感器支架,PLA,0.2,63,21.8,178,fail,堵料,0.25
J202607-033,2026-07-18,FX-256-01,涡轮叶轮,PLA,0.2,54,17.5,145,fail,断料,0.22
J202607-034,2026-07-02,FX-256-04,传感器支架,PETG,0.28,107,41.5,417,success,,0.43
J202607-035,2026-07-09,FX-256-03,涡轮叶轮,PETG,0.28,124,56,553,success,,0.5
J202607-036,2026-07-07,FX-256-01,行星齿轮,PETG,0.28,76,35.9,353,success,,0.3
J202607-037,2026-07-15,FX-256-01,行星齿轮,PLA,0.12,166,34.1,308,success,,0.66
J202607-038,2026-07-19,FX-256-03,传感器支架,ABS,0.28,87,44.1,395,success,,0.49
J202607-039,2026-07-11,FX-256-04,传感器支架,PETG,0.2,154,42,442,success,,0.62
J202607-040,2026-07-10,FX-256-04,传感器支架,PETG,0.2,57,18.7,192,fail,翘边,0.23
J202607-041,2026-07-05,FX-256-02,涡轮叶轮,PETG,0.28,138,50.8,513,success,,0.55
J202607-042,2026-07-16,FX-256-03,传感器支架,TPU,0.28,200,40.4,730,success,,0.8
J202607-043,2026-07-19,FX-256-03,涡轮叶轮,TPU,0.2,318,56,1030,success,,1.27
J202607-044,2026-07-01,FX-256-04,传感器支架,ABS,0.12,237,42.6,464,success,,1.34
J202607-045,2026-07-02,FX-256-04,传感器支架,PETG,0.12,255,43.6,500,success,,1.02
J202607-046,2026-06-30,FX-256-04,涡轮叶轮,PETG,0.2,190,51.9,546,success,,0.76
J202607-047,2026-07-12,FX-256-02,传感器支架,PETG,0.2,145,42.8,445,success,,0.58
J202607-048,2026-06-29,FX-256-01,行星齿轮,PETG,0.2,107,36,368,success,,0.43
J202607-049,2026-07-17,FX-256-04,传感器支架,PLA,0.2,114,40.1,327,success,,0.46
J202607-050,2026-07-16,FX-256-02,行星齿轮,PLA,0.12,158,32.6,294,success,,0.63
J202607-051,2026-07-07,FX-256-04,行星齿轮,PETG,0.2,110,35.7,366,success,,0.44
J202607-052,2026-07-06,FX-256-02,行星齿轮,PLA,0.2,96,33.7,275,success,,0.38
J202607-053,2026-07-12,FX-256-02,行星齿轮,PLA,0.28,34,19.4,149,fail,断料,0.14
J202607-054,2026-07-03,FX-256-01,涡轮叶轮,PETG,0.2,174,54.4,561,success,,0.7
J202607-055,2026-07-13,FX-256-01,传感器支架,TPU,0.12,436,39.2,815,success,,1.74
J202607-056,2026-07-04,FX-256-03,涡轮叶轮,PLA,0.2,138,53.4,429,success,,0.55
J202607-057,2026-07-08,FX-256-04,传感器支架,PETG,0.2,38,10.3,108,fail,悬垂塌陷,0.15
J202607-058,2026-07-06,FX-256-04,涡轮叶轮,PETG,0.2,197,52.9,558,success,,0.79
J202607-059,2026-06-30,FX-256-01,传感器支架,PETG,0.28,107,39.6,400,success,,0.43
J202607-060,2026-07-19,FX-256-01,行星齿轮,PLA,0.2,87,33.3,268,success,,0.35
J202607-061,2026-07-12,FX-256-04,传感器支架,PETG,0.2,128,42.6,435,success,,0.51
J202607-062,2026-07-08,FX-256-01,行星齿轮,TPU,0.2,196,36.1,660,success,,0.78
J202607-063,2026-06-30,FX-256-03,行星齿轮,ABS,0.2,111,35.8,343,success,,0.63
J202607-064,2026-07-18,FX-256-01,传感器支架,TPU,0.2,227,43.4,790,success,,0.91
J202607-065,2026-07-06,FX-256-04,涡轮叶轮,ABS,0.2,177,49.6,487,success,,1
J202607-066,2026-07-18,FX-256-02,传感器支架,PETG,0.2,153,42.5,445,success,,0.61
J202607-067,2026-06-30,FX-256-04,涡轮叶轮,PETG,0.2,198,55.9,585,success,,0.79
J202607-068,2026-07-08,FX-256-03,传感器支架,ABS,0.2,131,38.7,376,success,,0.74
J202607-069,2026-07-08,FX-256-02,行星齿轮,ABS,0.2,116,32.9,323,success,,0.66
J202607-070,2026-07-12,FX-256-04,传感器支架,PETG,0.2,129,40.8,420,success,,0.52
J202607-071,2026-07-11,FX-256-03,传感器支架,PLA,0.2,132,40.7,339,success,,0.53
J202607-072,2026-07-17,FX-256-02,涡轮叶轮,PETG,0.12,320,52.1,604,success,,1.28
J202607-073,2026-06-29,FX-256-01,传感器支架,PLA,0.12,216,43,392,success,,0.86
J202607-074,2026-07-18,FX-256-02,涡轮叶轮,PLA,0.28,99,53.5,413,success,,0.4
J202607-075,2026-07-14,FX-256-03,涡轮叶轮,ABS,0.28,124,51.9,477,success,,0.7
J202607-076,2026-07-15,FX-256-03,行星齿轮,PETG,0.2,119,34.8,362,success,,0.48
J202607-077,2026-07-12,FX-256-02,涡轮叶轮,PETG,0.2,164,52.1,536,success,,0.66
J202607-078,2026-07-19,FX-256-03,行星齿轮,PLA,0.2,64,23.2,188,fail,断料,0.26
J202607-079,2026-07-16,FX-256-03,行星齿轮,TPU,0.12,312,36.4,716,success,,1.25
J202607-080,2026-07-18,FX-256-03,传感器支架,PLA,0.12,191,41.9,373,success,,0.76
J202607-081,2026-07-18,FX-256-04,行星齿轮,ABS,0.2,118,33.4,328,success,,0.67
J202607-082,2026-07-14,FX-256-01,涡轮叶轮,PETG,0.2,173,55.3,568,success,,0.69
J202607-083,2026-07-08,FX-256-03,涡轮叶轮,PETG,0.12,306,54.8,622,success,,1.22
J202607-084,2026-07-19,FX-256-01,涡轮叶轮,PLA,0.12,252,51.2,464,success,,1.01
J202607-085,2026-07-07,FX-256-04,行星齿轮,PLA,0.2,99,33,272,success,,0.4
J202607-086,2026-07-06,FX-256-02,行星齿轮,ABS,0.2,78,23.1,224,fail,断料,0.44
J202607-087,2026-07-01,FX-256-02,传感器支架,PLA,0.2,113,40.9,332,success,,0.45
J202607-088,2026-07-11,FX-256-03,涡轮叶轮,ABS,0.12,306,55.3,602,success,,1.73
J202607-089,2026-07-17,FX-256-01,传感器支架,PLA,0.12,194,40.8,367,success,,0.78
J202607-090,2026-07-12,FX-256-04,行星齿轮,ABS,0.2,113,32.8,320,success,,0.64
J202607-091,2026-07-10,FX-256-03,行星齿轮,PLA,0.28,66,33.4,259,success,,0.26
J202607-092,2026-06-30,FX-256-01,涡轮叶轮,PETG,0.28,125,53.2,528,success,,0.5
J202607-093,2026-07-19,FX-256-03,涡轮叶轮,PLA,0.28,101,49.1,383,success,,0.4
J202607-094,2026-07-18,FX-256-03,传感器支架,ABS,0.2,28,9.4,89,fail,堵料,0.16
J202607-095,2026-07-16,FX-256-02,传感器支架,TPU,0.2,243,40.2,746,success,,0.97
J202607-096,2026-07-05,FX-256-02,行星齿轮,PETG,0.2,104,34.4,352,success,,0.42
