job_id,date,machine_id,model_name,material,layer_height_mm,duration_min,filament_g,cost_fen,status,fail_reason,energy_kwh
FARM-0031,2026-07-16,FX-Δ260-01,涡轮叶轮,PETG,0.2,28,13.2,130,success,,0.11
FARM-0032,2026-07-01,FX-220-01,行星齿轮,PETG,0.28,22,10.9,107,success,,0.09
FARM-0033,2026-07-11,FX-256-04,传感器支架,ABS,0.28,4,0,2,fail,热失控,0.02
FARM-0034,2026-07-10,FX-Δ260-01,涡轮叶轮,PETG,0.12,59,12.6,138,success,,0.24
FARM-0035,2026-06-29,FX-Δ260-01,涡轮叶轮,PLA,0.2,30,12.8,102,success,,0.12
FARM-0036,2026-07-04,FX-Δ260-01,传感器支架,PLA,0.28,15,12,89,success,,0.06
FARM-0037,2026-07-07,FX-220-01,传感器支架,TPU,0.2,56,11.2,202,success,,0.22
FARM-0038,2026-06-29,FX-Δ260-01,涡轮叶轮,ABS,0.2,36,10.9,105,success,,0.2
FARM-0039,2026-07-13,FX-256-01,传感器支架,PLA,0.2,21,11.5,88,success,,0.08
FARM-0040,2026-06-29,FX-256-03,传感器支架,PETG,0.28,22,12.3,119,success,,0.09
FARM-0041,2026-07-19,FX-500-01,传感器支架,PETG,0.12,45,11.2,119,success,,0.18
FARM-0042,2026-07-19,FX-256-02,涡轮叶轮,TPU,0.2,73,12.5,231,success,,0.29
FARM-0043,2026-07-08,FX-256-01,传感器支架,PLA,0.12,32,11,90,success,,0.13
FARM-0044,2026-07-10,FX-500-01,行星齿轮,TPU,0.12,91,9.7,194,success,,0.36
FARM-0045,2026-07-09,FX-256-03,涡轮叶轮,PETG,0.2,37,13.2,134,success,,0.15
FARM-0046,2026-07-08,FX-220-01,传感器支架,PETG,0.28,22,12.3,119,success,,0.09
FARM-0047,2026-07-13,FX-256-04,行星齿轮,PETG,0.2,31,10.5,107,success,,0.12
FARM-0048,2026-07-06,FX-Δ260-01,涡轮叶轮,PLA,0.28,18,13.4,100,success,,0.07
FARM-0049,2026-07-16,FX-256-03,行星齿轮,TPU,0.2,58,10,184,success,,0.23
FARM-0050,2026-07-02,FX-256-02,行星齿轮,PETG,0.2,31,10.5,107,success,,0.12
FARM-0051,2026-06-30,FX-500-01,行星齿轮,PLA,0.12,37,9.9,85,success,,0.15
FARM-0052,2026-07-09,FX-256-01,传感器支架,PLA,0.2,2,0.5,4,fail,断料,0.01
FARM-0053,2026-07-09,FX-Δ260-01,涡轮叶轮,PETG,0.12,39,12.6,130,success,,0.16
FARM-0054,2026-06-30,FX-220-02,涡轮叶轮,PLA,0.12,47,12.3,106,success,,0.19
FARM-0055,2026-07-07,FX-220-02,行星齿轮,TPU,0.2,57,10,184,success,,0.23
FARM-0056,2026-07-08,FX-Δ260-01,行星齿轮,PLA,0.12,2,0,1,fail,堵料,0.01
FARM-0057,2026-07-16,FX-500-01,行星齿轮,PLA,0.2,23,10.3,81,success,,0.09
FARM-0058,2026-07-18,FX-256-04,行星齿轮,PLA,0.2,24,10.3,82,success,,0.1
FARM-0059,2026-07-10,FX-220-02,传感器支架,TPU,0.12,1,0,0,fail,堵料,0
FARM-0060,2026-06-29,FX-256-04,传感器支架,PETG,0.2,29,11.8,118,success,,0.12
FARM-0061,2026-07-14,FX-Δ260-01,行星齿轮,PETG,0.28,23,10.9,107,success,,0.09
FARM-0062,2026-07-07,FX-220-01,涡轮叶轮,PLA,0.28,23,13.4,102,success,,0.09
FARM-0063,2026-07-19,FX-220-02,传感器支架,PLA,0.2,2,0.5,4,fail,堵料,0.01
FARM-0064,2026-07-13,FX-500-01,行星齿轮,PLA,0.2,23,10.3,81,success,,0.09
FARM-0065,2026-07-02,FX-256-03,传感器支架,PLA,0.2,1,0,0,fail,堵料,0
FARM-0066,2026-07-02,FX-256-02,涡轮叶轮,ABS,0.2,35,10.9,105,success,,0.2
FARM-0067,2026-07-04,FX-220-02,传感器支架,PLA,0.12,33,11,90,success,,0.13
FARM-0068,2026-07-07,FX-256-01,传感器支架,TPU,0.2,55,11.2,202,success,,0.22
FARM-0069,2026-07-16,FX-256-01,涡轮叶轮,PETG,0.2,39,13.2,135,success,,0.16
FARM-0070,2026-07-18,FX-Δ260-01,涡轮叶轮,PETG,0.28,27,13.7,134,success,,0.11
FARM-0071,2026-06-29,FX-256-03,行星齿轮,PETG,0.2,31,10.5,107,success,,0.12
FARM-0072,2026-07-15,FX-256-02,传感器支架,TPU,0.28,43,11.7,205,success,,0.17
FARM-0073,2026-06-30,FX-256-03,涡轮叶轮,PETG,0.28,27,13.7,134,success,,0.11
FARM-0074,2026-07-08,FX-256-03,涡轮叶轮,PLA,0.28,23,13.4,102,success,,0.09
FARM-0075,2026-07-10,FX-220-02,行星齿轮,PLA,0.2,23,10.3,81,success,,0.09
FARM-0076,2026-07-07,FX-256-03,涡轮叶轮,PLA,0.2,28,12.8,101,success,,0.11
FARM-0077,2026-07-07,FX-256-01,行星齿轮,PETG,0.2,29,10.5,106,success,,0.12
FARM-0078,2026-07-04,FX-220-01,传感器支架,PLA,0.2,21,11.5,88,success,,0.08
FARM-0079,2026-07-09,FX-220-02,涡轮叶轮,PLA,0.2,28,12.8,101,success,,0.11
FARM-0080,2026-07-16,FX-220-01,行星齿轮,PETG,0.2,22,10.5,103,success,,0.09
FARM-0081,2026-07-07,FX-220-02,传感器支架,TPU,0.2,55,11.2,202,success,,0.22
FARM-0082,2026-07-02,FX-256-03,行星齿轮,PLA,0.2,23,10.3,81,success,,0.09
FARM-0083,2026-07-09,FX-256-03,涡轮叶轮,TPU,0.2,72,12.5,231,success,,0.29
FARM-0084,2026-07-01,FX-256-03,传感器支架,PLA,0.2,22,11.5,89,success,,0.09
FARM-0085,2026-07-15,FX-500-01,传感器支架,ABS,0.2,23,7.4,71,fail,悬垂塌陷,0.13
FARM-0086,2026-06-30,FX-220-02,传感器支架,PETG,0.2,25,8.9,90,fail,悬垂塌陷,0.1
FARM-0087,2026-07-13,FX-256-04,行星齿轮,PLA,0.28,4,0.9,8,fail,断料,0.02
FARM-0088,2026-07-06,FX-256-04,传感器支架,TPU,0.12,86,10.7,208,success,,0.34
FARM-0089,2026-07-09,FX-256-03,传感器支架,PLA,0.2,21,11.5,88,success,,0.08
FARM-0090,2026-07-02,FX-220-01,传感器支架,PLA,0.2,22,11.5,89,success,,0.09
FARM-0091,2026-07-08,FX-256-04,传感器支架,PLA,0.2,22,11.5,89,success,,0.09
FARM-0092,2026-07-04,FX-256-03,涡轮叶轮,PLA,0.12,45,12.3,105,success,,0.18
FARM-0093,2026-07-08,FX-Δ260-01,行星齿轮,PLA,0.2,24,10.3,82,success,,0.1
FARM-0094,2026-07-17,FX-Δ260-01,传感器支架,PETG,0.2,3,0.6,7,fail,堵料,0.01
FARM-0095,2026-06-30,FX-256-04,行星齿轮,PLA,0.2,23,10.3,81,success,,0.09
FARM-0096,2026-07-05,FX-220-01,行星齿轮,TPU,0.2,57,10,184,success,,0.23
FARM-0097,2026-06-29,FX-256-03,行星齿轮,TPU,0.2,57,10,184,success,,0.23
FARM-0098,2026-07-01,FX-Δ260-01,涡轮叶轮,PETG,0.2,37,13.2,134,success,,0.15
FARM-0099,2026-07-08,FX-220-02,行星齿轮,PLA,0.2,24,10.3,82,success,,0.1
FARM-0100,2026-07-02,FX-220-01,涡轮叶轮,PLA,0.12,46,12.3,105,success,,0.18
FARM-0101,2026-06-29,FX-256-04,行星齿轮,TPU,0.2,57,10,184,success,,0.23
FARM-0102,2026-07-17,FX-256-01,涡轮叶轮,ABS,0.2,35,10.9,105,success,,0.2
FARM-0103,2026-06-29,FX-256-04,行星齿轮,PETG,0.2,31,10.5,107,success,,0.12
FARM-0104,2026-07-09,FX-256-04,涡轮叶轮,PLA,0.2,30,12.8,102,success,,0.12
FARM-0105,2026-07-17,FX-256-01,传感器支架,ABS,0.2,2,0.5,5,fail,断料,0.01
FARM-0106,2026-06-30,FX-500-01,传感器支架,PETG,0.12,44,11.2,119,success,,0.18
FARM-0107,2026-07-19,FX-500-01,传感器支架,PLA,0.2,22,11.5,89,success,,0.09
FARM-0108,2026-07-02,FX-256-01,传感器支架,PETG,0.2,29,11.8,118,success,,0.12
FARM-0109,2026-07-02,FX-256-03,行星齿轮,PETG,0.2,24,10.5,104,success,,0.1
FARM-0110,2026-07-07,FX-220-01,传感器支架,PETG,0.2,29,11.8,118,success,,0.12
FARM-0111,2026-07-02,FX-Δ260-01,涡轮叶轮,PETG,0.2,37,13.2,134,success,,0.15
FARM-0112,2026-07-17,FX-256-02,传感器支架,ABS,0.2,28,9.7,92,success,,0.16
FARM-0113,2026-07-15,FX-256-01,涡轮叶轮,ABS,0.2,35,10.9,105,success,,0.2
FARM-0114,2026-07-08,FX-256-01,行星齿轮,PETG,0.12,31,10.2,104,success,,0.12
FARM-0115,2026-07-08,FX-Δ260-01,传感器支架,PLA,0.2,22,11.5,89,success,,0.09
FARM-0116,2026-07-13,FX-500-01,涡轮叶轮,ABS,0.2,36,10.9,105,success,,0.2
FARM-0117,2026-07-12,FX-256-03,行星齿轮,PLA,0.2,24,10.3,82,success,,0.1
FARM-0118,2026-07-06,FX-Δ260-01,传感器支架,ABS,0.28,22,10.2,92,fail,悬垂塌陷,0.12
FARM-0119,2026-07-01,FX-500-01,行星齿轮,PETG,0.2,27,10.5,105,success,,0.11
FARM-0120,2026-07-02,FX-Δ260-01,行星齿轮,PETG,0.28,23,10.9,107,success,,0.09
FARM-0121,2026-06-30,FX-500-01,传感器支架,PLA,0.2,3,0.5,5,fail,堵料,0.01
FARM-0122,2026-07-12,FX-220-01,行星齿轮,PLA,0.2,24,10.3,82,success,,0.1
FARM-0123,2026-07-05,FX-256-04,涡轮叶轮,PETG,0.2,38,13.2,134,success,,0.15
FARM-0124,2026-07-10,FX-256-04,传感器支架,PETG,0.2,27,11.8,117,success,,0.11
FARM-0125,2026-07-15,FX-220-02,传感器支架,PLA,0.2,21,11.5,88,success,,0.08
FARM-0126,2026-07-09,FX-256-03,涡轮叶轮,PETG,0.2,33,13.2,132,success,,0.13
FARM-0127,2026-07-08,FX-256-02,传感器支架,PLA,0.28,13,12,88,success,,0.05
FARM-0128,2026-07-06,FX-256-02,行星齿轮,TPU,0.2,57,10,184,success,,0.23
FARM-0129,2026-07-18,FX-256-03,传感器支架,PETG,0.28,20,12.3,118,success,,0.08
FARM-0130,2026-07-03,FX-220-02,行星齿轮,PETG,0.2,30,10.5,107,success,,0.12
FARM-0131,2026-07-17,FX-220-02,传感器支架,PETG,0.2,27,11.8,117,success,,0.11
FARM-0132,2026-07-19,FX-220-02,行星齿轮,PLA,0.2,24,10.3,82,success,,0.1
FARM-0133,2026-07-09,FX-220-02,行星齿轮,TPU,0.2,57,10,184,success,,0.23
FARM-0134,2026-07-18,FX-256-02,涡轮叶轮,TPU,0.2,58,12.5,224,success,,0.23
FARM-0135,2026-07-09,FX-220-01,行星齿轮,ABS,0.2,29,8.7,84,fail,翘边,0.16
FARM-0136,2026-07-17,FX-256-01,涡轮叶轮,TPU,0.28,7,0.9,18,fail,断料,0.03
FARM-0137,2026-06-29,FX-Δ260-01,行星齿轮,ABS,0.2,28,8.7,84,success,,0.16
FARM-0138,2026-07-13,FX-256-02,传感器支架,PLA,0.12,34,11,91,success,,0.14
FARM-0139,2026-07-11,FX-220-01,传感器支架,PETG,0.12,44,11.2,119,success,,0.18
FARM-0140,2026-07-01,FX-256-01,传感器支架,PLA,0.12,28,11,88,success,,0.11
FARM-0141,2026-07-11,FX-256-04,涡轮叶轮,PLA,0.2,30,12.8,102,success,,0.12
FARM-0142,2026-07-10,FX-220-01,传感器支架,TPU,0.12,87,10.7,209,success,,0.35
FARM-0143,2026-07-12,FX-220-02,涡轮叶轮,PLA,0.2,29,12.8,101,success,,0.12
FARM-0144,2026-07-12,FX-220-02,传感器支架,PETG,0.28,22,12.3,119,success,,0.09
FARM-0145,2026-07-02,FX-256-04,行星齿轮,PLA,0.12,36,9.9,84,success,,0.14
FARM-0146,2026-07-03,FX-256-03,行星齿轮,PETG,0.2,29,10.5,106,success,,0.12
FARM-0147,2026-07-12,FX-500-01,传感器支架,PETG,0.2,29,11.8,118,success,,0.12
FARM-0148,2026-07-18,FX-500-01,涡轮叶轮,PLA,0.12,47,12.3,106,success,,0.19
FARM-0149,2026-07-08,FX-256-04,传感器支架,ABS,0.2,28,9.7,92,success,,0.16
FARM-0150,2026-07-11,FX-256-04,传感器支架,TPU,0.12,88,10.7,209,success,,0.35
FARM-0151,2026-07-05,FX-256-02,行星齿轮,PLA,0.2,23,10.3,81,success,,0.09
FARM-0152,2026-07-16,FX-256-03,行星齿轮,ABS,0.2,28,8.7,84,success,,0.16
FARM-0153,2026-06-30,FX-256-02,传感器支架,PLA,0.2,23,11.5,89,success,,0.09
FARM-0154,2026-06-29,FX-500-01,行星齿轮,PLA,0.28,17,10.6,81,success,,0.07
FARM-0155,2026-07-05,FX-220-02,行星齿轮,TPU,0.12,91,9.7,194,success,,0.36
FARM-0156,2026-07-07,FX-256-03,涡轮叶轮,ABS,0.2,33,10.9,104,success,,0.19
FARM-0157,2026-07-03,FX-256-03,行星齿轮,PETG,0.2,30,10.5,107,success,,0.12
FARM-0158,2026-07-16,FX-256-03,涡轮叶轮,PETG,0.12,59,12.6,138,success,,0.24
FARM-0159,2026-07-08,FX-256-03,行星齿轮,PLA,0.2,24,10.3,82,success,,0.1
FARM-0160,2026-07-05,FX-500-01,传感器支架,PLA,0.2,2,0.5,4,fail,堵料,0.01
FARM-0161,2026-07-13,FX-220-01,涡轮叶轮,TPU,0.28,53,13.1,231,success,,0.21
FARM-0162,2026-07-16,FX-256-04,行星齿轮,PETG,0.28,24,10.9,108,success,,0.1
FARM-0163,2026-07-06,FX-220-02,行星齿轮,PETG,0.2,31,10.5,107,success,,0.12
FARM-0164,2026-07-03,FX-220-02,传感器支架,PETG,0.2,27,11.8,117,success,,0.11
FARM-0165,2026-07-19,FX-256-01,传感器支架,TPU,0.2,4,0.4,8,fail,断料,0.02
FARM-0166,2026-07-01,FX-Δ260-01,涡轮叶轮,PETG,0.2,38,13.2,134,success,,0.15
FARM-0167,2026-07-15,FX-256-02,行星齿轮,TPU,0.2,57,10,184,success,,0.23
FARM-0168,2026-07-01,FX-256-01,涡轮叶轮,TPU,0.28,6,0.9,17,fail,断料,0.02
FARM-0169,2026-07-01,FX-Δ260-01,涡轮叶轮,PETG,0.2,1,0,0,fail,堵料,0
FARM-0170,2026-07-09,FX-500-01,传感器支架,PETG,0.28,22,12.3,119,success,,0.09
FARM-0171,2026-07-01,FX-220-02,传感器支架,PETG,0.28,20,12.3,118,success,,0.08
FARM-0172,2026-07-11,FX-256-03,涡轮叶轮,ABS,0.2,36,10.9,105,success,,0.2
FARM-0173,2026-07-11,FX-256-02,行星齿轮,PLA,0.28,18,10.6,81,success,,0.07
FARM-0174,2026-07-07,FX-220-01,涡轮叶轮,PETG,0.2,39,13.2,135,success,,0.16
FARM-0175,2026-07-15,FX-256-03,涡轮叶轮,PLA,0.2,3,0,1,fail,堵料,0.01
FARM-0176,2026-07-11,FX-220-01,传感器支架,PETG,0.2,2,0.6,6,fail,堵料,0.01
FARM-0177,2026-07-08,FX-256-02,行星齿轮,PETG,0.28,23,10.9,107,success,,0.09
FARM-0178,2026-07-11,FX-256-01,涡轮叶轮,PLA,0.12,46,12.3,105,success,,0.18
FARM-0179,2026-07-13,FX-Δ260-01,传感器支架,PETG,0.28,21,12.3,118,success,,0.08
FARM-0180,2026-07-03,FX-256-01,行星齿轮,PLA,0.2,23,10.3,81,success,,0.09
FARM-0181,2026-07-19,FX-500-01,涡轮叶轮,PLA,0.2,30,12.8,102,success,,0.12
FARM-0182,2026-07-03,FX-256-02,传感器支架,PLA,0.28,16,12,90,success,,0.06
FARM-0183,2026-07-06,FX-256-01,传感器支架,PETG,0.28,3,0.7,7,fail,断料,0.01
FARM-0184,2026-07-02,FX-256-02,涡轮叶轮,PLA,0.12,46,12.3,105,success,,0.18
FARM-0185,2026-06-29,FX-220-02,涡轮叶轮,PLA,0.28,23,13.4,102,success,,0.09
FARM-0186,2026-07-11,FX-256-03,传感器支架,PLA,0.2,21,11.5,88,success,,0.08
FARM-0187,2026-07-08,FX-500-01,涡轮叶轮,TPU,0.2,72,12.5,231,success,,0.29
FARM-0188,2026-07-04,FX-500-01,行星齿轮,PETG,0.2,31,10.5,107,success,,0.12
FARM-0189,2026-07-13,FX-256-04,传感器支架,PLA,0.12,34,11,91,success,,0.14
FARM-0190,2026-07-09,FX-220-01,传感器支架,PETG,0.2,24,8.9,90,fail,悬垂塌陷,0.1
FARM-0191,2026-06-30,FX-Δ260-01,行星齿轮,ABS,0.28,22,9,83,success,,0.12
FARM-0192,2026-07-06,FX-220-01,涡轮叶轮,PETG,0.2,37,13.2,134,success,,0.15
FARM-0193,2026-07-03,FX-Δ260-01,行星齿轮,PLA,0.2,25,10.3,82,success,,0.1
FARM-0194,2026-07-17,FX-256-04,传感器支架,TPU,0.2,55,11.2,202,success,,0.22
FARM-0195,2026-07-16,FX-256-03,传感器支架,PETG,0.12,44,11.2,119,success,,0.18
FARM-0196,2026-07-19,FX-256-04,行星齿轮,PLA,0.2,24,10.3,82,success,,0.1
FARM-0197,2026-07-04,FX-220-02,行星齿轮,PLA,0.2,1,0,0,fail,堵料,0
FARM-0198,2026-07-08,FX-256-01,传感器支架,TPU,0.28,6,0.6,12,fail,断料,0.02
FARM-0199,2026-07-04,FX-256-03,传感器支架,TPU,0.12,87,10.7,209,success,,0.35
FARM-0200,2026-07-01,FX-Δ260-01,行星齿轮,PETG,0.2,30,10.5,107,success,,0.12
FARM-0201,2026-07-08,FX-220-01,行星齿轮,PETG,0.2,29,10.5,106,success,,0.12
FARM-0202,2026-07-09,FX-500-01,涡轮叶轮,PETG,0.2,37,13.2,134,success,,0.15
FARM-0203,2026-07-16,FX-Δ260-01,涡轮叶轮,TPU,0.12,115,12,241,success,,0.46
FARM-0204,2026-07-14,FX-500-01,行星齿轮,PLA,0.2,3,0.7,6,fail,堵料,0.01
FARM-0205,2026-07-01,FX-256-02,传感器支架,PETG,0.2,22,11.8,115,success,,0.09
FARM-0206,2026-07-03,FX-256-04,传感器支架,ABS,0.28,4,0,2,fail,热失控,0.02
FARM-0207,2026-07-18,FX-220-02,涡轮叶轮,PETG,0.28,29,13.7,135,success,,0.12
FARM-0208,2026-07-19,FX-256-04,传感器支架,PETG,0.28,19,9.4,92,fail,悬垂塌陷,0.08
FARM-0209,2026-07-18,FX-220-02,涡轮叶轮,PETG,0.2,37,13.2,134,success,,0.15
FARM-0210,2026-07-08,FX-256-04,传感器支架,ABS,0.28,4,0,2,fail,热失控,0.02
FARM-0211,2026-06-29,FX-256-04,行星齿轮,PETG,0.12,48,10.2,112,success,,0.19
FARM-0212,2026-06-29,FX-500-01,涡轮叶轮,TPU,0.12,114,12,241,success,,0.46
FARM-0213,2026-07-14,FX-256-02,涡轮叶轮,ABS,0.2,35,10.9,105,success,,0.2
FARM-0214,2026-07-17,FX-256-04,行星齿轮,PLA,0.28,4,0.9,8,fail,断料,0.02
FARM-0215,2026-07-18,FX-256-04,涡轮叶轮,ABS,0.28,4,0,2,fail,热失控,0.02
FARM-0216,2026-07-08,FX-256-01,涡轮叶轮,PETG,0.12,40,12.6,130,success,,0.16
FARM-0217,2026-07-14,FX-256-02,涡轮叶轮,PLA,0.2,31,12.8,102,success,,0.12
FARM-0218,2026-07-02,FX-256-04,涡轮叶轮,TPU,0.12,116,12,242,success,,0.46
FARM-0219,2026-07-03,FX-256-03,传感器支架,ABS,0.2,28,9.7,92,success,,0.16
FARM-0220,2026-07-07,FX-Δ260-01,涡轮叶轮,PETG,0.28,19,13.7,131,success,,0.08
FARM-0221,2026-07-09,FX-256-02,行星齿轮,PLA,0.12,36,9.9,84,success,,0.14
FARM-0222,2026-06-30,FX-256-01,涡轮叶轮,PLA,0.2,30,12.8,102,success,,0.12
FARM-0223,2026-07-01,FX-220-01,行星齿轮,PETG,0.2,29,10.5,106,success,,0.12
FARM-0224,2026-07-19,FX-256-03,行星齿轮,PLA,0.2,25,10.3,82,success,,0.1
FARM-0225,2026-07-01,FX-256-03,传感器支架,PLA,0.2,21,11.5,88,success,,0.08
FARM-0226,2026-07-08,FX-256-02,涡轮叶轮,PETG,0.28,29,13.7,135,success,,0.12
FARM-0227,2026-07-09,FX-256-04,行星齿轮,PETG,0.12,48,10.2,112,success,,0.19
FARM-0228,2026-07-01,FX-256-04,传感器支架,TPU,0.2,56,11.2,202,success,,0.22
FARM-0229,2026-07-05,FX-Δ260-01,涡轮叶轮,PETG,0.2,26,13.2,129,success,,0.1
FARM-0230,2026-07-02,FX-256-03,行星齿轮,PLA,0.2,23,10.3,81,success,,0.09
FARM-0231,2026-07-10,FX-220-01,涡轮叶轮,PLA,0.2,30,12.8,102,success,,0.12
FARM-0232,2026-07-09,FX-220-01,行星齿轮,PLA,0.2,1,0,0,fail,堵料,0
FARM-0233,2026-07-09,FX-256-04,行星齿轮,PLA,0.2,24,10.3,82,success,,0.1
FARM-0234,2026-07-07,FX-256-04,行星齿轮,PETG,0.12,47,10.2,112,success,,0.19
FARM-0235,2026-07-04,FX-256-03,涡轮叶轮,PETG,0.28,29,13.7,135,success,,0.12
FARM-0236,2026-07-14,FX-500-01,涡轮叶轮,PETG,0.28,29,13.7,135,success,,0.12
FARM-0237,2026-07-14,FX-220-02,涡轮叶轮,ABS,0.2,35,10.9,105,success,,0.2
FARM-0238,2026-07-08,FX-220-01,涡轮叶轮,PETG,0.2,38,13.2,134,success,,0.15
FARM-0239,2026-07-11,FX-256-04,传感器支架,ABS,0.28,4,0,2,fail,热失控,0.02
FARM-0240,2026-07-01,FX-Δ260-01,传感器支架,PETG,0.2,27,11.8,117,success,,0.11
FARM-0241,2026-07-13,FX-256-02,行星齿轮,PLA,0.28,19,10.6,82,success,,0.08
FARM-0242,2026-06-29,FX-500-01,传感器支架,PETG,0.2,20,11.8,114,success,,0.08
FARM-0243,2026-07-09,FX-256-01,行星齿轮,PLA,0.2,23,10.3,81,success,,0.09
FARM-0244,2026-07-01,FX-220-02,传感器支架,PLA,0.28,18,12,91,success,,0.07
FARM-0245,2026-07-19,FX-Δ260-01,涡轮叶轮,PETG,0.12,59,12.6,138,success,,0.24
FARM-0246,2026-07-17,FX-220-02,行星齿轮,TPU,0.2,57,10,184,success,,0.23
FARM-0247,2026-07-07,FX-256-04,行星齿轮,ABS,0.12,43,8.4,89,success,,0.24
FARM-0248,2026-07-18,FX-220-01,涡轮叶轮,PETG,0.28,28,13.7,134,success,,0.11
FARM-0249,2026-07-01,FX-500-01,传感器支架,PLA,0.12,34,11,91,success,,0.14
FARM-0250,2026-07-18,FX-256-04,涡轮叶轮,PETG,0.2,38,13.2,134,success,,0.15
FARM-0251,2026-07-08,FX-256-03,涡轮叶轮,PETG,0.2,37,13.2,134,success,,0.15
FARM-0252,2026-07-19,FX-220-01,传感器支架,PLA,0.2,19,8.7,69,fail,悬垂塌陷,0.08
FARM-0253,2026-07-06,FX-256-04,行星齿轮,PLA,0.2,24,10.3,82,success,,0.1
FARM-0254,2026-07-08,FX-256-01,传感器支架,PETG,0.2,29,11.8,118,success,,0.12
FARM-0255,2026-06-29,FX-220-01,行星齿轮,PETG,0.12,44,10.2,110,success,,0.18
FARM-0256,2026-07-13,FX-Δ260-01,涡轮叶轮,PETG,0.2,26,13.2,129,success,,0.1
FARM-0257,2026-07-01,FX-220-02,行星齿轮,PETG,0.12,40,10.2,108,success,,0.16
FARM-0258,2026-07-17,FX-Δ260-01,行星齿轮,PLA,0.2,24,10.3,82,success,,0.1
FARM-0259,2026-07-08,FX-220-02,涡轮叶轮,PLA,0.2,30,12.8,102,success,,0.12
FARM-0260,2026-07-06,FX-500-01,传感器支架,PETG,0.28,22,12.3,119,success,,0.09
FARM-0261,2026-07-16,FX-256-03,行星齿轮,TPU,0.2,58,10,184,success,,0.23
FARM-0262,2026-07-19,FX-256-04,涡轮叶轮,PLA,0.12,45,12.3,105,success,,0.18
FARM-0263,2026-07-12,FX-220-02,传感器支架,PLA,0.2,21,11.5,88,success,,0.08
FARM-0264,2026-07-04,FX-256-01,行星齿轮,ABS,0.28,4,0.7,8,fail,断料,0.02
FARM-0265,2026-07-08,FX-256-02,传感器支架,PETG,0.2,29,11.8,118,success,,0.12
FARM-0266,2026-07-17,FX-256-02,涡轮叶轮,TPU,0.2,73,12.5,231,success,,0.29
FARM-0267,2026-07-04,FX-500-01,行星齿轮,PLA,0.28,19,10.6,82,success,,0.08
